作者,内容
"
爆笑大蒜派
","


太太和富豪吵架，被富豪一拳揍晕了。
富豪吓坏了，赶紧把太太送进医院。
经过一番检查，医生确定没什么问题，但就是一直昏迷着。
富豪吓坏了，哭着喊道：“老婆，快醒醒，我错了，我以后再不藏私房钱了。”
刚说完，太太一跃而起：“我就说，不给你点颜色你是不会认的。”
老爸炒股赚了200多万，在碧桂园买了套房子。
我们刚搬来不久，和对门的邻居也不熟。
可是最近他儿子回来了，阿姨就经常往我们家送东西。
我和家人心照不宣，阿姨肯定是想让我做她的儿媳妇。
今天我在家休息，阿姨又来了，问我：你们家的金毛生了吧？我
…

查看全文"
"
吃了两碗又盛
","


儿子大了，越来越不好管，媳妇今天被气得歇斯底里了，对我一顿天马流星拳。
我说儿子犯错你打我干嘛？
媳妇说，归根结底，还不都怨你？

"
"
胖香
","


昨天看到一个动态壁纸挺清新的，是一只漂亮的鸟，冲击水面抓鱼，马上设置到手机上，闺女一大早就拿我手机搜题目，刚打开就吱哇乱叫的把我手机甩了出去，大声喊：“妈妈你手机里有个尖嘴的东西向我冲了过来！”
现在我想问，手机屏幕多少钱能换好？

"
"
坏小孩cium
","


喝酒真酣，一哥们说自己当年如何威猛，激动处，还露出背上的很多疤痕给我们看，说是当年战绩，好多盆友都露出钦佩的眼神。。。
        我正啃着猪蹄儿，很疑惑的嘟哝了一句:往前冲伤痕应该在正面才对吧。。。
        不知怎么了，我话还没说完，那哥们酒也不喝扭头就走了​。。。

"
"
义行天下7
","


前年吧，我们村建教学楼！
承包给学校附近的包工头张哥了！
那天加夜班打混凝土，到了夜里12 点，张哥接了个电话，说他家里突然跳 闸了，没电了他要回 家看看怎么回事！
可我站在二楼不经意 间往他家瞄了一眼，灯明明亮着的啊，大约也就5 分钟左右吧，张哥估计到家就不亮了，估计他到家才跳 的 闸吧！！！
然后不到5 分 钟又亮了，没一会，张哥 回来 说修好了……

"
"
小四家的巫婆
","


表弟谈了场恋爱，后来不但分手了而且身无分文。表弟沮丧地问我：姐，现在的爱情是不是都归财神爷管呀？

"
"
再见单身狗
","


李姐的表哥来公司上班，她一直喊小雷哥，所以我们也跟着叫他小雷哥
观察了几天之后经理让他找我办一个上岗证
我：小雷哥，你姓什么？
小雷哥：都叫了几天小雷哥了，当然姓雷了

"
"
夏有凉风秋望月
","


在我们姐妹的见证下老爹迟到多年的土味求婚告白💍:“老婆，我爱你🤟[捂脸]”
看到老妈只顾着笑又娇羞的模样，老爸又说，你再不收下戒指💍 和花，我就不爱你了😂！
老妈:“那我爱你”一脚将老爹踹倒[捂脸]

"
"
忧郁的创可贴
","


这几天天气炎热。
老公一回来就抱怨: 搬砖一天太累了，有什么方法能快点暴富啊？
唠叨了好几次。
我实在听不下去: 老公啊，你想暴富其实最简单的办法就是你欧了以后想要什么我都烧给你。
老公。。。。。。

"
"
九头纪
","


上高中时候学校出钱盖了栋家属楼，老师们都很高兴，一天校长给老师们开会说：这家属楼优先考虑都在本校任职的教师夫妇，其次是已婚者，单身的排后！他这会一开不要紧学校里平时互相爱慕的，已经确定关系的，以前谈过又分开的老师都密集订婚结婚，好不热闹！

"
"
.婷婷～
","


老妈去外婆家，让我周末自己做饭吃。
趁老妈不在家，把冰箱的玉米排骨拿出来炖上，一边炖，一边玩手机，这时闻到一股糊味儿，打开锅一看，特么，炖玉米变成烤玉米了。舍不得倒掉，就吃了起来。
这时老妈发消息问我吃饭没有？我把碗里的饭拍给老妈看，心想老妈心一软说不定给我发个红包呢。
老妈一看，立马回复:婷婷啊，我走的时候给猪喂过了的，你不用再喂了啊！

"
"
吃了两碗又盛
","


孬哥两口子减肥，每天清淡饮食，低摄入，一个月来效果特别明显:他儿子瘦了五斤。

"
"
天热打鼓球
","


晚上车停地下车库，大灯忘了关。于是第二天让保险派人过来搭个电。
师傅到后说要核对下保险单，我到车里去找。车里很暗，师傅说：你开灯啊！
我真的就去按车顶灯的开关！

"
"
空城旧梦她与伞
","


结婚那天，我去接亲时，丈母娘哭得一把鼻涕一把泪，口里还念叨着：我的白菜啊，我辛辛苦苦养了二十多年的白菜啊，就这样被人连根端走了，哎呀啊……
我连忙表态：妈，您放心，两家也不远，只要您一个电话，我立马带她过来。
老丈人也安慰道：孩子大喜的日子，就别哭了，女婿刚刚也表态了，再说，舍不得白菜怎么能套住猪啊？
大喜的日子，你们怎么骂人啊？[捂脸][捂脸]

"
"
正版煮茶
","


我朋友开书法培训班，一天一个女人带着一个小孩过来，说想把之前没上完的课上掉。
我朋友不让，说多久的事了，多少得加点钱。
我劝我朋友：这小孩才多大，差几个月的事别计较。
我朋友：是小孩的妈妈在零二年没上完的课...

"
"
坏小孩cium
","


坏小孩cium：我拔牙了，不能写帖子了
禁言…：        为啥呀？
坏小孩cium：因为吹牛皮漏风[捂嘴]

"
