作者,内容
"
酸菜鱼丨
","


年轻时候的一次神巧合，也就是那次把我俩的缘分用完了——
初恋是城市里的一个女孩，转校来我们小村庄，半个学校都震惊了，当时觉得好漂亮，身上的味道那么好闻。没错，我运气好，还是泡到了她，还是她给我表白的。你们以为故事就结束了？该死的缘分才刚刚开始，我和初恋刚谈的一星期后，暗恋我两年多的女孩也表白了，我本着原则拒绝了她。暗恋我的女孩也很漂亮也是转校生，刚来我们学校的时候一直在我后面坐着(那时候她还是胖胖的看不出来一点美女的气质，每个胖子都是潜力股，过了一个假期来像换了一个人)，但怎么漂亮我也是有主的人
…

查看全文"
"
九头纪
","


上高中时候学校出钱盖了栋家属楼，老师们都很高兴，一天校长给老师们开会说：这家属楼优先考虑都在本校任职的教师夫妇，其次是已婚者，单身的排后！他这会一开不要紧学校里平时互相爱慕的，已经确定关系的，以前谈过又分开的老师都密集订婚结婚，好不热闹！

"
"
秀的拽ベ你不配
","


吃过晚饭后，开着我的小毛驴经过老奶奶家门口，她看向我招手示意我停车，停好车后，平常问安后，她告诉我说，今天早上大有收获，某某家的那个谁离婚了，今年三十出头人帅还是做工程的；某某家的儿子未婚四十多点，教师年龄十二年老实本份，某某家的儿子今年三十二，离婚四次，有个儿子十三岁……然后问我，你觉得你会喜欢哪个？
我去，敢情早上买个菜三小时，原来是是去透家底了[挖鼻孔]

"
"
忧郁的创可贴
","


这几天天气炎热。
老公一回来就抱怨: 搬砖一天太累了，有什么方法能快点暴富啊？
唠叨了好几次。
我实在听不下去: 老公啊，你想暴富其实最简单的办法就是你欧了以后想要什么我都烧给你。
老公。。。。。。

"
"
义行天下7
","


前年吧，我们村建教学楼！
承包给学校附近的包工头张哥了！
那天加夜班打混凝土，到了夜里12 点，张哥接了个电话，说他家里突然跳 闸了，没电了他要回 家看看怎么回事！
可我站在二楼不经意 间往他家瞄了一眼，灯明明亮着的啊，大约也就5 分钟左右吧，张哥估计到家就不亮了，估计他到家才跳 的 闸吧！！！
然后不到5 分 钟又亮了，没一会，张哥 回来 说修好了……

"
"
风寂纱与思
","


那年我脸上好多痘痘，我心爱的男神看都不看我。真是愁死我了。
有天下班后不想回宿舍，沿着河堤慢慢踱步，遇上一个老太在草地上坐着，一看见我就打量我，我看她皮肤光洁，也好奇地看着她，老太咧嘴笑着说自己八十多了，有秘方保养皮肤！
我一下子来兴趣了，就跟她聊了起来，不知不觉天要黑了，我要回去了，老太叫我等着，飞快跑了，一会抱了个坛子过来给我，说一天喝一杯，养颜美容！我打开闻了下，味道很怪。不过看着老太白净的脸，我觉得她就是我现在的救星了。我把身上差不多一百块钱都给了她。高兴地回宿舍了。
宿友回来后，
…

查看全文"
"
坏小孩cium
","


坏小孩cium：我拔牙了，不能写帖子了
禁言…：        为啥呀？
坏小孩cium：因为吹牛皮漏风[捂嘴]

"
"
冬日阳光温馨
","


进了家新公司，公司好像注重新人。怎么说呢，新工人就餐比老工人多一个菜。几天以后，看到老工人工资2935比我们要低很多，招收新工人(4500~~6000)。
是不是重找一家试试！

"
"
无书斋主
","


昨天认识一个做高端水的美女，特别有才，说话总是能抓住你的疼点，让你听着特别入心！
贤淑端庄的她又不乏雍容华贵，让人心生敬慕而不忍一丝亵渎！！
临别时我还是没忍住问了句:美女知识这么渊博，又这么成功，那一年的啊？……
她笑笑让我猜……
我认真的看了看她，心想女人的年龄不能猜大，特意压小点:应该比我小，三十五六吧？？！
她的笑容瞬间凝固……
后来，别人告诉我，她九二年的，二十八！！！

"
"
再见单身狗
","


李姐的表哥来公司上班，她一直喊小雷哥，所以我们也跟着叫他小雷哥
观察了几天之后经理让他找我办一个上岗证
我：小雷哥，你姓什么？
小雷哥：都叫了几天小雷哥了，当然姓雷了

"
"
孤心傲月
","


媳妇被岳父骂了闷闷不乐，我去哄她时逗乐的说：谁敢欺负我老婆！我去欺负他老婆！ 正巧岳父岳母这时夸门而入………………TM………………

"
"
.婷婷～
","


老妈去外婆家，让我周末自己做饭吃。
趁老妈不在家，把冰箱的玉米排骨拿出来炖上，一边炖，一边玩手机，这时闻到一股糊味儿，打开锅一看，特么，炖玉米变成烤玉米了。舍不得倒掉，就吃了起来。
这时老妈发消息问我吃饭没有？我把碗里的饭拍给老妈看，心想老妈心一软说不定给我发个红包呢。
老妈一看，立马回复:婷婷啊，我走的时候给猪喂过了的，你不用再喂了啊！

"
"
高配置…低消耗！
","


半夜屁意来袭，随心所欲“突...突...突...”。小女儿隔壁喊道:  妈，起床了，什么时候换了闹铃？挺有节奏感啊！

"
"
空城旧梦她与伞
","


结婚那天，我去接亲时，丈母娘哭得一把鼻涕一把泪，口里还念叨着：我的白菜啊，我辛辛苦苦养了二十多年的白菜啊，就这样被人连根端走了，哎呀啊……
我连忙表态：妈，您放心，两家也不远，只要您一个电话，我立马带她过来。
老丈人也安慰道：孩子大喜的日子，就别哭了，女婿刚刚也表态了，再说，舍不得白菜怎么能套住猪啊？
大喜的日子，你们怎么骂人啊？[捂脸][捂脸]

"
"
挖鼻孔的老虎
","


有个同事上班时伤到了眼睛，带薪休假一周，昨天是第七天，他打电话说视力很模糊，申请再休三天，公司也批准了。
今天我开车送老板外出，居然遇到那同事站在路边，目光炯炯的看别人下棋。
老板要我停车按喇叭，那同事先是一愣，然后眯着眼睛摸着墙走了。

"
"
芭蕉窗下听雨声
","


我们家两度分化。老公胖，我瘦。
我跟老公提意见说：你少吃点肉类吧，没有买卖就没有伤害。我给你做些青菜野菜吧！即免了动物皮肉之苦，也免了你以后的皮肉之苦。
谁知老公说：你不知道吗，植物会唱歌……？
[捂脸][捂脸]

"
