发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数,verified_reason,description
内蒙古团委,05月23日13:53,来自想见你的Android, 【#袁隆平遗体送别仪式明天举行#】5月22日，共和国痛失袁隆平院士。记者从袁隆平同志治丧办公室获悉：兹定于2021年5月24日（星期一）上午10:00在湖南省长沙市明阳山殡仪馆铭德厅举行#袁隆平遗体送别仪式#。（总台记者蒋琦）​​​,0,1,1,3,共青团内蒙古自治区委员会官方微博,
正安县检察院,05月25日14:40,来自iPhone客户端, 【#女老师哭着读学生的信追思袁老#：当风吹过稻田，我就知道您回来了】#市民赴三亚试验田献花缅怀袁老#5月23日，陆续有很多市民带着鲜花、稻穗来到位于三亚的试验田，表达对袁隆平的哀思。其中，有两名老师专程从近两百公里外的琼海市赶来献花。她们这次过来也带着学生们写的信，在稻田边表达对袁爷爷的尊敬和思念。#用稻香唱出对袁隆平爷爷的思念# #班主任带来了150封给袁爷爷的信#L一手Video的微博视频  ,0,0,1,0,贵州省遵义市正安县人民检察院官方微博,正安县人民检察院官方微博
沈阳网警巡查执法,05月24日14:32,来自微博视频号, 【#聋哑男孩跑步作画致敬袁隆平#】来自内蒙古自治区赤峰市一名聋哑男孩吴广明，在得知袁隆平院士去世后，以跑步作画方式，跑出一幅10公里袁隆平院士头像，以此寄托哀思。吴广明表示，袁隆平院士积极乐观，自强不息，勇攀高峰的创新精神一直影响着他。L中新视频的微博视频​,0,0,6,5,辽宁省沈阳市公安局网络安全保卫支队,我们是沈阳市公安局网络安全保卫支队在互联网上的执法账号。我们的任务是依据相关法律法规在互联网虚拟社会“巡逻”，及时制止违法犯罪信息在网上传播！同时各位网友若发现各类违法犯罪线索，请通过WX公众号“沈阳网警巡查执法”提供给我们！
sxrtv-新闻中心,05月22日14:38,来自微博视频号, 【痛悼！#送别国之脊梁袁隆平#】今天，#共和国痛失袁隆平院士#。“我最大的愿望是饭碗要牢牢地掌握在我们中国人自己手上！”他把一生浸在稻田里，把功勋写在大地上。国士无双，致敬，缅怀！L央视新闻的微博视频​,0,0,0,0,山西广播电视台新闻中心官方微博,
烟台高速交警,05月23日07:16,来自nova7你在焦点在, #送别国之脊梁袁隆平#国士无双……​,0,0,0,1,山东省烟台市公安局高速公路交通警察支队官方微博,
河口检察,05月24日17:18,来自微博视频号, #河检君分享#【#袁老给我们留下了什么#】造福世界的技术、攻坚克难的勇气、乐观豁达的心态、低调谦逊的美德、还有他未竟的梦想……“风吹过稻田我就想起你”“以后，我们帮您把种子撒向更远方”……#91秒追忆袁隆平#↓↓#袁隆平院士遗体送别#仪式将于今天举行。一起送别袁老，先生千古！L人民日报的微博视频  ,0,0,0,1,山东省东营市河口区人民检察院官方微博,
埇桥教育,05月27日17:13,来自360安全浏览器, #埇桥校园快讯#【宿州十一中教育集团开展全国科技工作者日科普进校园活动】“通过这段时间的抗疫实践，我深刻体会到，科技攻关是战胜疫情的最重要的力量……”5月26日，宿州十一中教育集团联合埇桥区西关街道祥安社区开展“全国科技工作者日科普进校园”活动。在观众互动环节，同学们踊跃地举手进行抢答，现场气氛活跃。活动中，同学们共同观看了微视频《礼赞》，学习科技工作者的先进事迹。社区科普志愿者还向学生传播科学知识，讲述袁隆平院士的生平经历及为全人类做出的伟大贡献，弘扬科学家的伟大精神。通过学习，同学们纷纷表示，将主动适应新时代发展要求，为大力实施创新驱动发展战略作出贡献，以“科技梦”助推“中国梦”，助力中华民族伟大复兴。（满岩曹二林）  ,0,6,2,9,,
华声在线,05月24日20:50,来自微博视频号, 【#袁隆平的第三个梦想#】作为“杂交水稻之父”，袁隆平念念不忘的是与水稻相关的3个梦想。“杂交水稻覆盖全球梦”“禾下乘凉梦”之外，袁隆平的第三个梦想，就是希望在我国的盐碱地上种出高产水稻。今天，让我们一起回顾袁老温暖的话语、坚定的承诺，送袁老最后一程！#袁老一路走好#（新华网）L新华社的微博视频  ,0,0,0,0,华声在线官方微博,华声在线，聚焦国内民生，国际大事。我们不仅关注湖南人，我们也聚焦天下事。报料、投诉请私信或@华声在线！
海报新闻,05月23日17:34,来自搜狗高速浏览器, 【海报直击丨长沙明阳山，数万民众雨中送别袁隆平院士】#群众雨中排千米长队送别袁隆平#2021年5月22日13时07分，中国工程院院士、“共和国勋章”获得者袁隆平，在湖南长沙与世长辞，享年91岁。5月23日，阴雨连绵，数万民众冒着雨自发来到长沙明阳山殡仪馆悼念。人们默默撑起雨伞，队伍排了很长很长，有人捧着鲜花，有人抱着照片，人群中不时传来低低的啜泣。O海报直击丨长沙明阳山，数万民众雨中送别袁隆平院士  ,0,0,0,4,海报新闻客户端官方微博,“海报新闻”客户端由省委宣传部、省委网信办主管，大众报业集团主办，山东省互联网传媒集团承办。
新浪佛学,05月25日16:29,来自微博搜索, #委员建议将袁隆平逝世日设为全国节约粮食日#你会支持吗？,0,5,11,59,新浪佛学频道官方微博。愿一切众生离苦得乐究竟圆满。,
秦淮人大,05月22日16:36,来自iPhone客户端, 【今天，#重温袁隆平文章我的两个梦#】“我一直有两个梦，一个是禾下乘凉梦：就是水稻高产梦，让人们永远都不用再饿肚子；一个是杂交水稻覆盖全球梦：造福人类，还能提升我国的国际地位。”#袁隆平的两个梦#O袁隆平：我的两个梦​​​,0,0,0,1,无认证,南京秦淮区夫子庙街道区人大代表交流的网上平台
绍兴越城公安,05月23日12:37,来自iPhone客户端, //@浙江公安:【#新闻联播里的袁隆平吴孟超生前影像#】,0,0,0,0,浙江省绍兴市公安局越城区分局官方微博,这里是绍兴市公安局越城区分局官方微博，我们致力于提供最新的警务资讯和最贴心的在线服务。欢迎提出您宝贵意见及建议！ 温馨提示：紧急警情、报警求助请拨打110。
浙江新闻频道,05月23日20:39,来自微博视频号, 【#聋哑小伙两小时10公里跑出袁隆平头像#：送袁爷爷最后一程！】5月22日，内蒙古赤峰。吴广明是一位聋哑人，同时他也是一位跑步爱好者。当吴广明看见袁隆平爷爷去世的消息时，他感到悲痛万分，他决定用跑步作画的方式，送袁隆平爷爷最后一程。他从下午两点开始跑，花费2小时跑了10公里。吴广明用地图上的轨迹，画出了袁隆平院士的头像。吴广明表示，愿天堂没有病痛，袁隆平爷爷一路走好。#悼念袁隆平#@时间视频L时间视频的微博视频  ,0,1,1,7,浙江电视台新闻频道《新闻大直播》栏目官微,看浙江 看中国 看世界
嘉兴海宁消防,05月22日19:31,来自iPhone客户端, 默哀//@浙江消防:默哀！袁隆平院士逝世，他曾寄语消防安全工作：稻田不能有害虫，安全不能有隐患；平安、粮食，皆为国之宝、民之天！,0,0,0,0,浙江省海宁市消防大队官方微博,定期为群众发送消防安全知识、消防安全提醒，并提供消防业务咨询服务。
中国警察网,05月23日14:24,, 【#袁隆平遗体送别仪式明天举行#】5月22日，共和国痛失袁隆平院士。袁隆平同志治丧办公室介绍：兹定于2021年5月24日（星期一）上午10:00在湖南省长沙市明阳山殡仪馆铭德厅举行袁隆平同志遗体送别仪式。​​​送别袁老​,0,21,15,141,中国警察网官方围脖,中国警察网是公安部主管，由人民公安报社主办的大型综合性门户网站。
阜阳发布,05月25日11:11,来自微博视频号, 【#为缅怀袁隆平公司设计稻穗状烟花#公司负责人：一束稻穗千里援思】5月24日，一束稻穗状的烟花绽放在空中。为了纪念隆平院士，浏阳一家烟花公司专门设计了稻穗状日景烟花，该公司负责人表示，“一束稻穗，千里援思，为缅怀袁爷爷设计的”。#稻穗状烟花#L新京报我们视频的微博视频​,0,2,0,10,阜阳市委宣传部官方微博,宣传阜阳的网络窗口！
大西北网络,05月24日15:45,来自360安全浏览器, 【送别袁隆平】　5月24日，长沙，明阳山殡仪馆。人们来到这里，与袁隆平告别。（分享自@大西北网络）O网页链接​,0,0,0,1,"""大西北网（www.dxbei.com）""官方微博",大西北网成立于2008年，是甘肃省新闻办批准的具有新闻资质的门户网站，也是全世界华人了解西北资讯、文化的窗口 。平均日点击量20万人次，而旗下的大西北微博目前拥有21万网友，其发布方式、传播渠道，直接快捷到达目标客户；而微信平台作为时下最热门的社交信息平台，也是移动端的一大入口，正在演变成为一大商业交易平台，其对营销行业带来的颠 覆性变化已经开始显现。微信平台也正在利用专业技术，帮助企业找寻商业的公众平台。
青岛发布,05月23日11:37,来自微博视频号, #新闻联播里的袁隆平吴孟超生前影像#】5月22日，共和国一日之内痛失袁隆平、吴孟超两位院士。再看一次昨晚新闻联播中的这些画面↓↓↓送别袁老，送别吴老！我们会永远记住你们，最闪亮的星！L央视新闻的微博视频#袁隆平曾梦见自己在稻穗下乘凉#​,0,1,0,2,青岛市人民政府新闻办公室官方微博,青岛市人民政府新闻办公室官方微博
成都高新法院,05月24日09:51,来自微博视频号, #这颗星永远不会陨落#【#年轻人为什么爱袁隆平#】“‘我们无法抵抗浪潮，但永远记得灯塔’。在人间播种子，在天上撒甘霖。没有见过一面，却像亲人一样亲切，那个可爱的老头。”“碗里的饭吃得干干净净，吃每一粒米都在想着您，珍惜粮食，向袁爷爷致敬。”网友这样缅怀刚刚逝去的袁隆平。湖南农业大学作物遗传育种专业学生黄子健对记者说：“袁隆平爷爷是我们科研道路上的导师。”戳视频↓（记者丁春雨、陈思汗、薛宇舸）L新华社的微博视频  ,0,0,0,0,四川省成都高新区人民法院官方微博,
一瞬间video,05月24日22:13,来自微博视频号, #实验田旁小店老板追忆袁隆平#：头戴草帽手拿铁铲来喝椰子。L一瞬间video的微博视频​,0,1,0,4,新京报“我们视频”旗下15秒小视频栏目官方微博,
白龙江林区检察,05月24日19:31,来自微博视频号, #夫人泪别袁隆平#【最后的道别！#夫人泪别袁隆平#】5月24日上午，袁隆平告别仪式现场：遗体上国旗覆盖，安卧鲜花翠柏，夫人神形悲戚，泪别袁老。再回看袁老90岁生日时，将第一口蛋糕喂给老伴，令人心碎。L华商网的微博视频​,0,0,1,0,甘肃省白龙江林区人民检察院官方微博,
即墨发布,05月24日14:46,来自微博视频号, 【#袁老给我们留下了什么#】造福世界的技术、攻坚克难的勇气、乐观豁达的心态、低调谦逊的美德、还有他未竟的梦想……“风吹过稻田我就想起你”“以后，我们帮您把种子撒向更远方”……#91秒追忆袁隆平#↓↓#袁隆平院士遗体送别#仪式将于今天举行。一起送别袁老，先生千古！L人民日报的微博视频​,0,0,0,0,中共青岛市即墨区委宣传部,青岛市即墨区新闻中心官方微博
阿拉善广播电视台,05月23日13:03,来自微博weibo.com, 痛别！中国“杂交水稻之父”袁隆平逝世O痛别！中国“杂交水稻之父”袁隆平逝世​,0,0,0,0,阿拉善盟广播电视台官方微博,阿拉善盟广播电视台新媒体官方微博，是阿拉善盟广播电视台最新最全的新闻生活资讯的首发平台。
财联社APP,05月22日19:19,来自微博weibo.com, 【#人们怀念袁隆平#】“3000枝菊花早卖光了，现在是白色和黄色的花都卖光了。很多人都在网上下单，希望给袁隆平爷爷送上一束花。”O人们怀念袁隆平​,0,12,7,128,财联社（https://www.cls.cn）官方微博,财联社|机构和私募主力都在使用的证券快讯APP
新都住建,05月24日15:49,来自360安全浏览器, //@中国文明网:【#袁隆平院士遗体送别仪式24日10时举行#】,0,0,0,0,成都市新都区住房和城乡建设局官方微博,
吉林乡村广播,05月23日12:41,来自iPhone客户端, #送别杂交水稻之父袁隆平院士#【#航拍长沙市民送别袁隆平长队#】5月23日上午，湖南长沙明阳山下，哀乐低回。自发冒雨前来的长沙市民排成长队，为袁老送别。很多人衣着黑衣或白衣，手持黄花，神情肃穆。#袁隆平院士遗体送别#仪式明日举行，一路走好！#袁隆平与武汉的故事说不尽#L封面新闻的微博视频  ,0,0,0,3,吉林人民广播电台乡村广播官方微博,吉林人民广播电台乡村广播2007年1月28日正式开播，覆盖人口2800万，全省55个调频转播台同步播出。长春地区播出频率调频97.6兆赫。【幸福频率976】秉承为更多需要正能量的人群带来幸福感为架构，以娱乐节目、服务节目为纽带，以参与互动、才艺展示等大型综艺活动为依托，突出专业性、公益性、服务性、娱乐性。在享受广播乐趣中为快速的生活节奏放慢脚步，悦耳聆听，爱听976， 幸福伴左右！
深圳网警,05月23日08:30,来自微博weibo.com, #早安# #早安深圳#大家早！“一个民族，千百万人里面才出一个天才；人世间数百万个闲暇的小时流逝过去，方始出现一个真正的历史性时刻，人类星光璀璨的时辰。”——《人类群星闪耀时》#袁隆平遗照确定#​,0,2,8,27,,
池州政法,05月23日15:36,来自微博weibo.com, #袁隆平曾梦见自己在稻穗下乘凉#,0,0,2,2,中共池州市委政法委员会官方微博,
毕节网警巡查执法,05月24日10:49,来自微博weibo.com, 【先生千古！湖南长沙#数万民众排长队送别袁隆平#】今天上午，长沙明阳殡仪馆外，数万民众排起长队前来送别袁隆平院士。#送别袁老#，一路走好！​,0,0,0,0,贵州省毕节市公安局网络安全保卫支队官方微博,毕节市公安局网警网上巡查执法账号，维护网上治安秩序，共建文明、和谐、清朗的网络空间
抚顺妇女,05月24日08:43,来自微博视频号, 【重温赤子心！#袁隆平曾用小提琴演奏我的祖国#】“一条大河波浪宽，风吹稻花香两岸”，这是2008年1月24日拍摄的视频资料，袁隆平院士用小提琴演奏《我的祖国》。视频中，他演奏完还略显害羞地说了一句“哎呀，不行了”。#袁隆平院士遗体送别#仪式今天举行，致敬袁老，一路走好！L在长沙的微博视频​​​  ,0,0,0,0,抚顺市妇女联合会官方微博,向社会宣传妇女，向妇女宣传社会。品味新生活，见证她时代。
蓟州检察,05月27日12:37,来自iPhone客户端," 6409【#中国人能自由吃瓜离不开这位奶奶#】中国人能自由吃瓜，离不开吴明珠奶奶数十年的研究和奉献。她是袁隆平的同学，两人分别影响了中国的瓜田和稻田。在她50多年的研究中，培育出28个经国家审定的优质瓜种，有耳熟能详的红心脆、香梨黄、小青皮、黑眉毛、香妃蜜瓜、皇后蜜瓜、郁金香甜瓜、金凤凰、绿宝石瓜、麒麟瓜，还有西瓜中的“王牌”—8424西瓜。她总挂在嘴边的话是:“我的人生就是想结几个瓜，把瓜的甘甜献给人民。""（中国青年报；全国妇联女性之声）L青春山东的微博视频  ",0,0,2,0,蓟州检察官方微博,欢迎您关注蓟州检察官方微信：（jixianjiancha）。期待您的关注。
宁县检察,05月23日18:34,来自Android, 【#小理发店再没等来老顾客袁隆平#】5月22日，袁隆平在湖南长沙逝世，享年91岁。袁隆平生前常去一家小理发店，理发店老板曹小萍回忆，上次见到袁老是2020年11月30日，袁老剪完头发就去三亚了。袁隆平曾跟她约定，一个月后再来剪头发。曹小萍说：“看到消息后很遗憾，一直等他再来剪发。”L潇湘晨报的微博视频  ,0,0,2,0,甘肃省庆阳市宁县人民检察院官方微博,这里是甘肃省宁县人民检察院官方微博，我们将及时发布检察信息，通报案件情况，接受网上举报和咨询，积极回应社会关切，欢迎广大网民监督、支持！
清新福建文旅之声,05月24日13:44,来自iPhone客户端, 【永远怀念！#中国有位袁隆平#】禾下乘凉梦，仓满无饥恐。他用毕生心血，浇灌稻田飘香。今天，发条微博，再送袁老一程！粒粒皆辛苦，后辈不敢忘！#袁隆平遗体送别仪式#​via.@央视新闻​,0,2,1,11,福建省文化和旅游厅官方微博,微言中共享八闽美景，博文间分享旅途心情，福建旅游欢迎您！
抚州临川发布,05月24日20:35,来自微博视频号, 【今天的#外交部vlog#致敬袁老】今天上午，袁隆平院士的遗体告别仪式在长沙举行。记者@苑庆攀本来没有心思做视频了，但是有记者在外交部例行记者会上问到了关于袁老的问题，发言人赵立坚向在场的中外记者介绍了袁隆平先生的伟大事迹。赵立坚说：“袁隆平不仅属于中国，也属于全世界！”#赵立坚说袁隆平的梦想一定会实现#L苑庆攀的微博视频  ,0,0,0,1,抚州市临川区融媒体中心（抚州市临川区广播电视台）微博,
杨陵检察,05月24日18:21,来自微博weibo.com, 【一路走好！此刻，一起#送别袁老#】今天上午10时，#袁隆平院士遗体送别#仪式举行。一稻济世，万家粮足。国士无双，先生千古！​​​（人民日报）,0,0,0,0,陕西省咸阳市杨陵区人民检察院官方微博,
湖北城市之声,05月22日22:30,来自微博视频号, 【幕后故事曝光#合作者谈袁隆平作词的歌曲#】“我有着一个梦，走在田埂上，它同我一般高，我拉着我最亲爱的朋友，坐在稻穗下乘凉……”这首歌由中国“杂交水稻之父”袁隆平作词，90后音乐人杨柠豪作曲。👏5月22日下午7点，杨柠豪正准备赶往长沙悼念袁隆平。他谈到和袁隆平合作的契机，称是家乡的缘分，“这首歌是以信改词，用他写给他妈妈的一封信，改了歌词，也才有了这首歌曲。”聆听这首袁隆平作词的歌曲↓↓缅怀，纪念！L封面新闻的微博视频  ,0,1,0,5,湖北城市之声官方微博,全省唯一“城市管理服务”融媒平台，中国十大创新力广播。
广西日报,05月24日15:30,来自微博视频号, 【#送给袁隆平的留言卡片将被归档收藏#】5月24日，#袁隆平遗体送别仪式#在长沙举行，自发前来悼念的群众络绎不绝。湖南杂交水稻研究中心志愿者表示，工作人员想要他们帮忙将大家给袁老的一些话以及词、句收集起来，然后归档，工作人员将会进行收藏。（来源：潇湘晨报）L潇湘晨报的微博视频​,0,1,1,24,广西日报官方微博,权威领主流，沟通凝力量！《广西日报》，成熟稳重的大叔一枚，生日是1949年12月3日，射手座，充满活力，风趣幽默。爱好广泛，在时政、经济、社会、文化体育领域有独到见解，常常发布重大权威解读。他写得了好文章，玩得了新花样，微博微信聊得了新闻，耍得了帅。你还不认识他的话，生活会缺少很多乐趣哦！
大邑县妇联,05月25日10:25,来自iPhone客户端, 【中国人的浪漫！#长沙地铁投影丰收稻田缅怀袁隆平#】5月24日，长沙地铁通道大屏投影稻田丰收的景象，以此缅怀袁隆平院士。不少市民特意赶来，借此纪念袁老。有旅客来到长沙旅游，碰巧遇到这一幕，很是感动。她说，从中感受到了中国人的浪漫。#赵立坚说袁隆平的梦想一定会实现# #前来吊唁的群众为袁老带来了气排球#L一手Video的微博视频  ,0,0,0,0,成都市大邑县妇女联合会官方微博,欢迎大家关注大邑县妇联公众微信号：scsdyxfl
平安洛阳-伊滨经开分局,05月22日21:25,来自360安全浏览器, 今天，#送别国之脊梁袁隆平#,0,0,0,1,河南省洛阳市公安局伊滨经开分局官方微博,伊滨公安分局位于洛阳市伊滨区（原伊洛工业园区，现有诸葛、李村、庞村、佃庄、寇店五个乡镇）诸葛镇，辖区人口25万余人，面积280平方公里。
平安金凤,05月24日00:19,来自RedmiK305G先锋, 【这一次，#外媒集体为袁隆平刷屏#：他的水稻研究，帮助养活了全世界】5月22日13时07分，“杂交水稻之父”、中国工程院院士、“共和国勋章”获得者袁隆平逝世，享年91岁。美联社、日本经济新闻等均报道了此消息↓↓↓网友：国士无双，怀念袁老！​​​,0,0,0,0,银川市公安局金凤公安分局官方微博,秉承“公开为先、服务为本”理念，打造新时期警民沟通新平台。
西青检察官,05月26日14:08,来自微博视频号, 【小女孩看到袁隆平、吴孟超追思墙主动上前敬礼鞠躬】#小女孩遇院士追思墙主动鞠躬敬礼#5月24日，天津的一位父亲带孩子参加活动，活动结束后孩子看到袁隆平院士、吴孟超院士追思墙，主动上前鞠躬敬少先队队礼。据孩子父亲付先生称，孩子看到追思墙后就跑过去，先是敬少先队队礼然后鞠躬，应该是在课本上学到过两位院士的事迹。自己看到后十分感动，身边人也都竖起了大拇指，就记录下了这感动一幕。L闪电新闻的微博视频  ,0,0,4,2,天津市西青区人民检察院官方微博,务实、创新、团结、和谐
武清大孟庄,05月23日09:06,来自微博weibo.com, 追忆袁隆平与天津小站稻情缘：“一见水稻就来精神儿”O网页链接​,0,0,0,0,中国共产党天津市武清区大孟庄镇委员会官方微博,
阜城电视台567,05月25日08:48,来自微博weibo.com, #聋哑男孩跑步作画致敬袁隆平#,0,0,0,0,阜城广播电视台,
湖南文旅,05月23日18:44,来自iPhone客户端, 【#长沙外卖小哥说外卖单全是鲜花#】23日，湖南杂交水稻研究中心前，一些无法亲自前来缅怀袁隆平院士的市民，通过鲜花外卖遥寄哀思。外卖小哥称，今天一早开始“好多订单都是送到袁老师这里的，外卖单全是鲜花单”。满满的鲜花丛前，外卖小哥脱帽鞠躬。#长沙的鲜花外卖单#L红网的微博视频​  ,0,1,1,3,新浪湖南文旅频道官方微博,新浪湖南旅游频道地址：http://hunan.travel.sina.com.cn/ 工作联系请私信。旅游达人灌水群：238377192 摄影达人交流群：55694140
甘肃白银政法,05月24日11:27,来自360安全浏览器, 今天13时07分，#袁隆平逝世#，享年91岁。这段采访袁隆平的视频看了很多遍还是很感动。面对“为什么要在非洲发展杂交水稻”的提问，袁隆平用英文回答“造福世界人民是我的毕生愿望之一！”,0,0,0,0,甘肃省白银市委政法委官方微博,
中国钱币博物馆,05月23日18:03,来自iPhone客户端, “从此以后，碗中有米，心中有您”【#长沙外卖小哥说外卖单全是鲜花#】23日，湖南杂交水稻研究中心前，一些无法亲自前来缅怀袁隆平院士的市民，通过鲜花外卖遥寄哀思。外卖小哥称，今天一早开始“好多订单都是送到袁老师这里的，外卖单全是鲜花单”。满满的鲜花丛前，外卖小哥脱帽鞠躬。#长沙的鲜花外卖单#L红网的微博视频​​​2北京·中国钱币博物馆  ,0,1,1,5,中国钱币博物馆官方微博,中国钱币博物馆是隶属于中国人民银行的国家级钱币专业博物馆，主要从事古代、近代货币及银行史相关实物的收藏、陈列和研究。
