发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
吉林共青团,06月19日07:59,来自微博视频号, #袁隆平讲禾下乘凉梦的珍贵影像#“我有两个梦，一个是禾下乘凉梦，一个是杂交稻覆盖全球梦。”永远怀念您！❤️L吉林共青团的微博视频​,0,4,1,56
青春湖北,06月19日07:59,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,1,0,4
黑龙江共青团,06月19日07:59,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频​,0,0,0,3
齐鲁晚报,06月19日07:57,来自微博视频号, 【#昨夜今晨#大家都在看啥议啥】1、#广东新增6例本土确诊#6月18日0-24时，广东省新增6例本土确诊病例，广州报告2例，深圳报告2例，佛山报告1例，东莞报告1例。2、#中国女排5连胜#北京时间6月18日22点，2021年世界女排联赛第五周，中国女排迎战俄罗斯女排，最终中国队以25:18，25:23，25:16，大比分3:0完胜俄罗斯队，拿下五连胜！此役中国女排派出的首发阵容为：朱婷、李盈莹、袁心玥、颜妮、龚翔宇、丁霞、王梦洁。3、#女子吃粽子误吞枣核险刺破主动脉#近日，黑龙江林口县，陆女士吃粽子不慎误吞枣核，喉咙被卡住，疼痛剧烈。医生表示，枣核尖端已刺入食管壁，距离主动脉弓只有五毫米。最终，在消化内镜、异物钳帮助下，医生小心翼翼取出了枣核，患者转危为安。4、#救护车闯红灯出车祸负全责#近日，河南三门峡，一救护车在经过十字路口时，与侧面行驶而来的一辆suv相撞。交警表示，当时救护车闯红灯且并未执行紧急任务，不享有优先通行权，因此救护车负这起交通事故全责。网友评论称，就算有救援任务，救护车也应该在保证安全的情况下优先行驶。5、#山东新闻# #山东高考评卷计划6月21日前完成#距离6月10日高考结束，已经过去一个多周了。如今，山东考生和家长正满心期盼着成绩的出炉。根据安排，全省3100余名教师投入阅卷工作，目前我省2021年各科评卷工作已近后期，各科三评率较低，质量控制良好，计划于6月21日全部完成。根据之前的新闻发布会通报，山东2021年高考成绩6月26日前公布。6、#济宁爆料# #济宁65岁以上老人一年两次免费乘机#6月18日，济宁发布鼓励乘坐济宁航班的优惠政策，优惠政策涉及关爱老人、组织客源奖励等方面，其中在“关爱老人”行动中，济宁籍65周岁以上老年人一年内可在非节假日期间免费两次乘坐济宁出港航班。在当日举行的新闻发布会上，济宁市民航事业发展中心党组成员、副主任王东春介绍，该优惠政策实施期限为一年，即从2021年6月8日至2022年6月7日。7、#袁隆平讲禾下乘凉梦的珍贵影像#“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,0,2,2
FM963,06月19日07:56,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
兰州发布,06月19日07:56,来自微博视频号, #袁隆平讲禾下乘凉梦的珍贵影像#【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,2
网易财经,06月19日07:51,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,6,1,18
沿江检察,06月19日07:47,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#中国共产党成立100周年# #专题片敢教日月换新天#L央视新闻的微博视频  ,0,10,12,23
平安中站,06月19日07:43,来自微博视频号, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！#专题片敢教日月换新天#L央视新闻的微博视频  ,0,0,0,0
新浪看点,06月19日07:43,来自微博发布平台专业版, 【重温，泪流满面#袁隆平讲禾下乘凉梦的珍贵影像#】“我梦见水稻长得比高粱还高，穗子比扫帚还长，我和同事坐在稻穗下乘凉”“我梦见穗子沉甸甸的，子粒接近花生米那么大”……这是袁老做过的两个幸福的梦。他的愿望非常朴实：“想培育出高产量品种，为提高粮食产量做一点贡献”↓↓缅怀！致敬！L央视新闻的微博视频  ,0,1,1,24
