发布者ID,发布时间,发布来源,发布内容,收藏数,转发数,评论数,点赞数
selenatie,01月01日22:15,来自HUAWEInova2Plus, #吴亦凡#,0,0,0,0
K藏宗WFFF,01月01日22:15,来自荣耀X105G, 的投票【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“2@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
夏酱不是虾酱_,01月01日22:15,来自iPhone客户端, //@alightinthe:吴亦凡wyf,0,0,0,0
想念的星星不说话,01月01日22:15,来自vivoY7s屏幕指纹, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”，你也快来表态吧~,0,0,0,0
煮什么水饺,01月01日22:15,来自Android, #吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“2@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
kriswuism-20XX,01月01日22:15,来自iPad客户端, @我的乌鱼饭宝宝就这样一边转一边聊天//@尼古拉托洛斯基灭绝鸡坤师太:鲵来说说你都喜欢什么类型的音乐？#O网页链接#,0,0,0,0
woyaokaoyan62437432,01月01日22:15,来自iPhone客户端, #O网页链接#,0,0,0,0
dfan123456,01月01日22:16,来自华为畅享Z5G, 吴亦凡海边焰火大片,0,0,0,0
woyaokaoyan62437432,01月01日22:16,来自iPhone客户端, #O网页链接#,0,0,0,0
熊猫妹儿201604,01月01日22:16,来自小米手机, #吴亦凡湖南卫视跨年晚会#,0,0,0,0
敖亦琦,01月01日22:16,来自K30至尊纪念版, 2021依旧爱你#O网页链接#,0,0,0,0
Nicole懂韩语,01月01日22:16,来自OPPO智能手机, 吴亦凡加油了,0,0,0,0
Sariel是个路人,01月01日22:16,来自nova7你在焦点在, //@吴亦凡吧-KrisBar:#O网页链接# #吴亦凡带电音皮卡丘跨年#全能音乐人@Mr_凡先生于跨年之时带来合作舞台《I'moutcha》，2021与你一起继续超速前行，于顶端笑看行云流水过,0,0,0,0
久久妮6353653356,01月01日22:16,来自小米8青春版潮流旗舰, #吴亦凡怼脸镜头真的能打#吴亦凡的舞台真好,0,0,0,0
Sariel是个路人,01月01日22:16,来自nova7你在焦点在, //@Galaxy_fanfan_吴敌风火抡:#O网页链接#吴亦凡于跨年夜带来完美现场《I'mOutchaRemix》，破晓2021，继续行云流水书写不凡际遇。@Mr_凡先生,0,0,0,0
南極企鵝_北極光,01月01日22:16,来自魅蓝E, 吴亦凡表情包系列​,0,0,0,8
想念的星星不说话,01月01日22:17,来自vivoY7s屏幕指纹, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
K去甲肾上腺素,01月01日22:17,来自前置双摄vivoX9sPlus, 我参与了@Lollipop_吴亦凡安利博发起的【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“2@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
她比王子还得意,01月01日22:17,来自HUAWEIMate305G, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”，你也快来表态吧~,0,0,0,0
娱少年,01月01日22:17,来自微博视频号, #吴亦凡电音皮卡丘好炫#好家伙，我直接好家伙这个皮卡丘也太可爱了吧，当然凡凡的节目也是实力杠杠的#湖南卫视跨年#L微博综艺的微博视频​,0,0,0,2
敖亦琦,01月01日22:17,来自K30至尊纪念版, 爱你😘#O网页链接#,0,0,0,0
默然铛铛,01月01日22:18,来自iPhoneX, #跨年#还记得2016年的湖南卫视跨年晚会，集齐了娱乐圈除鹿晗外的所有男顶流，吴亦凡、李易峰、杨洋、王俊凯、王源、易烊千玺、陈伟霆、井柏然等都在，鹿晗当时去了浙江卫视跨年晚会！L八组兔区娱乐圈的微博视频​​​2哈尔滨·宇光万和城​,0,0,1,0
今天吃啥啥,01月01日22:18,来自nova65G自拍大不一样, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个，你也快来表态吧~,0,0,0,0
小朋友不要香菜,01月01日22:18,来自iPhone客户端, 2021继续爱你😘//@吴亦凡图片视频:#吴亦凡新年焰火花絮#₂̆̈₀̆̈₂̆̈₀̆̈✨叮~🥂ᶜʰᵉᵉʳˢ,0,0,0,1
妈妈爱心心,01月01日22:18,来自iPhone客户端, 哈哈哈//@菠萝蜜的柚子:好家伙，得亏没坐在下面，不然得把吴亦凡带跑调了,0,0,0,0
岁月不败神·,01月01日22:18,来自微博国际版, 2020小合集呜呜妈咪的乖宝宝#吴亦凡#,0,0,0,0
娱少年,01月01日22:19,来自微博视频号, #为什么把吴亦凡的歌和芭蕾放在一起#这样的合作也只能在湖南卫视看到了，谭元元曼妙的芭蕾配上吴亦凡的电音，歌好听！舞好看！L微博娱乐的微博视频​,0,1,0,5
荔一素枝,01月01日22:19,来自荣耀20S, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“2@Mr_凡先生”这个，你也快来表态吧~,0,0,0,0
XX常逸文XX,01月01日22:19,来自微博国际版, 在宋亡近二十年后的元宵夜，作者感慨今昔，写下这首《宝鼎现》，寄托亡国哀思。全词三阕。上阕写丁酉元夕灯市的热闹场景，暗示怀旧主旨。中阕开头直抒怀恋前朝之意。下阕写前朝遗民，暗地垂泪，缅怀往事，徒有天上人间之感，更使人无限伤悲。词意凄婉，韵味深长。#吴亦凡#,0,0,0,0
一朵骄傲的小红朵花儿,01月01日22:19,来自HUAWEInova青春版, //@吴亦凡是芒果味:吴亦凡好帅好帅//@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】210101海口出发@Mr_凡先生干净澄澈的少年气,0,0,0,0
Linda_玉哩仔,01月01日22:19,来自🍓iPhoneXSMax, #O网页链接#北京到达新年第一天终于见到了宝宝新年快乐[米奇比心]LLinda_玉哩仔的微博视频​,0,712,270,2464
Lr羊羊羊,01月01日22:19,来自阿俊俊的Android, 太太太帅了！！！//@吴亦凡图片视频:#吴亦凡新年焰火花絮#₂̆̈₀̆̈₂̆̈₀̆̈✨叮~🥂ᶜʰᵉᵉʳˢ,0,0,0,0
woyaokaoyan62437432,01月01日22:20,来自iPhone客户端, #O网页链接#,0,0,0,0
20XXVAN66,01月01日22:20,来自荣耀30Pro+5G, //@吴亦凡吧-KrisBar:#O网页链接#提起笔为即将过去的2020刻上贰叁划，一碗面让2020所有的努力和艰辛以快乐收尾。让我们跟随着吴亦凡@Mr_凡先生的歌声，告别2020，启航2021。,0,0,0,0
奇了个怪了0527,01月01日22:20,来自OPPO超视野全面屏R15, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
寻到鲵塘的小姐姐9_666,01月01日22:20,来自小米8周年旗舰手机, //@JKrisfanfanfanfan:#O网页链接# #吴亦凡湖南卫视跨年#MK//@BABYCHERRY_吴亦凡资源博:这个版本最后能看见，广告起的时候小凡说“谢谢”,0,0,0,0
woyaokaoyan62437432,01月01日22:20,来自iPhone客户端, #O网页链接#,0,0,0,0
改个名儿吧_,01月01日22:20,来自HUAWEIMate20, 吴亦凡yyds,0,0,0,0
心头劫一生劫,01月01日22:20,来自Android, //@BABYCHERRY_吴亦凡资源博:#O网页链接#【高清】201231湖南卫视跨年@Mr_凡先生再回味一下昨天可爱的饭,0,0,0,0
贰叁亦凡,01月01日22:20,来自iPhone客户端, #吴亦凡新年焰火花絮#🥂,0,0,0,0
Galaxy银海星辰,01月01日22:20,来自华为畅享205G, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】,0,0,0,0
是好运的雪吖,01月01日22:21,来自小米8屏幕指纹版, //@吴亦凡图片视频:#湖南卫视跨年# #吴亦凡新年焰火花絮#调色壁纸,0,0,0,0
小狮子FanFan,01月01日22:21,来自iPhone客户端, //@沉淀星:吴亦凡,0,0,0,0
贰叁亦凡,01月01日22:21,来自iPhone客户端, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“2@Mr_凡先生”,0,0,0,0
在黄浦江边喝一点点,01月01日22:21,来自华为手机畅享玩不停, 还好有吴亦凡,0,0,0,0
岁月不败神·,01月01日22:21,来自微博国际版, 烟花//@吴亦凡图片视频:#湖南卫视跨年# #吴亦凡新年焰火花絮#调色壁纸,0,0,0,0
毛球球m,01月01日22:21,来自微博视频号, #跨年#还记得2016年的湖南卫视跨年晚会，集齐了娱乐圈除鹿晗外的所有男顶流，吴亦凡、李易峰、杨洋、王俊凯、王源、易烊千玺、陈伟霆、井柏然等都在，鹿晗当时去了浙江卫视跨年晚会！L八组兔区娱乐圈的微博视频​​​2哈尔滨·宇光万和城​,0,0,1,0
煎蛋侠99,01月01日22:21,来自OPPOA11n, #O网页链接#可萌可酷，可深情可不羁，舞台王者吴亦凡@Mr_凡先生,0,1,0,0
我悄悄喜欢他,01月01日22:22,来自HUAWEInova3e, 我参与了@Lollipop_吴亦凡安利博发起的【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
芝士抹茶甜辣雪碧酱,01月01日22:22,来自iPhone客户端, 跨年//@有点儿意思的大名儿NL://@吴亦凡图片视频:#吴亦凡加盟湖南卫视跨年# #吴亦凡私服#201230湖南卫视跨年彩排高清全程,0,0,0,0
-非黑即白-Ko,01月01日22:22,来自iPhone客户端, 【#吴亦凡海边焰火大片#wyf51krisnjj鲵】，我投给了“1@Mr_凡先生”这个选项，你也快来表态吧~,0,0,0,0
我真的好饿·20XX,01月01日22:22,来自iPhone11, 今天最开心的事就是早上全家告诉我，在跨年晚会看到了吴亦凡。奶奶：妹妹我昨天看到吴亦凡了爸爸：你也看的湖南台啊奶奶：不是啊，我看的中央台哇爸爸：中央台怎么会有吴亦凡我：录播的录播的牛不牛爸爸：牛#吴亦凡# #365天安利吴亦凡#​,0,0,0,0
她比王子还得意,01月01日22:22,来自HUAWEIMate305G, #O网页链接#//@Galaxy_fanfan_吴敌风火抡:#O网页链接#《TESTING》彰显独特音乐风格，不凡态度尽显。2021也要和歌手吴亦凡一起加油～@Mr_凡先生,0,0,0,0
她比王子还得意,01月01日22:22,来自HUAWEIMate305G, #O网页链接#//@吴亦凡吧-KrisBar:#O网页链接#用音乐表达自己，创造非凡奇迹！《TESTING》绝佳视听，感受独特凡式音乐，进入非凡梦幻世界，和全能音乐人@Mr_凡先生一起迎接崭新的2021，奔赴更辉煌的征程。,0,0,0,0
